node1; node2; key; weight; label; text1; text2
ae917e35effce2eeb6e3c9d03f8f3f34;ba33c0728c3655667e9a1b667051d496;subimage;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;ba33c0728c3655667e9a1b667051d496;ocr;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;771e32d716ecd732fe6a0bb93054942d;full_image_query;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;771e32d716ecd732fe6a0bb93054942d;related_text;0.5;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;771e32d716ecd732fe6a0bb93054942d;subimage;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;771e32d716ecd732fe6a0bb93054942d;ocr;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;a9eaee46fefe4e0886fa9b31aae50671;full_image_query;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;a9eaee46fefe4e0886fa9b31aae50671;related_text;0.41666666666666663;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;a9eaee46fefe4e0886fa9b31aae50671;subimage;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;a9eaee46fefe4e0886fa9b31aae50671;ocr;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;8cba36860603d44dcb6ce0bffbe57651;full_image_query;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;8cba36860603d44dcb6ce0bffbe57651;related_text;0.3125;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;8cba36860603d44dcb6ce0bffbe57651;subimage;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;8cba36860603d44dcb6ce0bffbe57651;ocr;0;;;;
ba7e656b478bfd2f4bb921bdb7390c4d;f6b2d1aa6da5a2de5ad0d7b36d58aeef;full_image_query;0;;;;
ba7e656b478bfd2f4bb921bdb7390c4d;f6b2d1aa6da5a2de5ad0d7b36d58aeef;related_text;0.41666666666666663;;;;
ba7e656b478bfd2f4bb921bdb7390c4d;f6b2d1aa6da5a2de5ad0d7b36d58aeef;subimage;0;;;;
ba7e656b478bfd2f4bb921bdb7390c4d;f6b2d1aa6da5a2de5ad0d7b36d58aeef;ocr;0;;;;
ba7e656b478bfd2f4bb921bdb7390c4d;d41ef034a482510c595f5a17aa6d25cf;full_image_query;0;;;;
ba7e656b478bfd2f4bb921bdb7390c4d;d41ef034a482510c595f5a17aa6d25cf;related_text;0.41666666666666663;;;;
ba7e656b478bfd2f4bb921bdb7390c4d;d41ef034a482510c595f5a17aa6d25cf;subimage;0;;;;
ba7e656b478bfd2f4bb921bdb7390c4d;d41ef034a482510c595f5a17aa6d25cf;ocr;0;;;;
ba7e656b478bfd2f4bb921bdb7390c4d;ae917e35effce2eeb6e3c9d03f8f3f34;full_image_query;0;;;;
ba7e656b478bfd2f4bb921bdb7390c4d;ae917e35effce2eeb6e3c9d03f8f3f34;related_text;0.5;;;;
ba7e656b478bfd2f4bb921bdb7390c4d;ae917e35effce2eeb6e3c9d03f8f3f34;subimage;0;;;;
ba7e656b478bfd2f4bb921bdb7390c4d;ae917e35effce2eeb6e3c9d03f8f3f34;ocr;0;;;;
ba7e656b478bfd2f4bb921bdb7390c4d;06fb9c52eeb4716d52b639b57cb36c93;full_image_query;0;;;;
ba7e656b478bfd2f4bb921bdb7390c4d;06fb9c52eeb4716d52b639b57cb36c93;related_text;0.41666666666666663;;;;
ba7e656b478bfd2f4bb921bdb7390c4d;06fb9c52eeb4716d52b639b57cb36c93;subimage;0;;;;
ba7e656b478bfd2f4bb921bdb7390c4d;06fb9c52eeb4716d52b639b57cb36c93;ocr;0;;;;
ba7e656b478bfd2f4bb921bdb7390c4d;e3353fd3912ed7098796b318b12b7393;full_image_query;0;;;;
ba7e656b478bfd2f4bb921bdb7390c4d;e3353fd3912ed7098796b318b12b7393;related_text;0.3;;;;
ba7e656b478bfd2f4bb921bdb7390c4d;e3353fd3912ed7098796b318b12b7393;subimage;0;;;;
ba7e656b478bfd2f4bb921bdb7390c4d;e3353fd3912ed7098796b318b12b7393;ocr;0;;;;
ba7e656b478bfd2f4bb921bdb7390c4d;e2f3be5793a2701b0da07d957fbdf5da;full_image_query;0;;;;
ba7e656b478bfd2f4bb921bdb7390c4d;e2f3be5793a2701b0da07d957fbdf5da;related_text;0.3125;;;;
ba7e656b478bfd2f4bb921bdb7390c4d;e2f3be5793a2701b0da07d957fbdf5da;subimage;0;;;;
ba7e656b478bfd2f4bb921bdb7390c4d;e2f3be5793a2701b0da07d957fbdf5da;ocr;0;;;;
ba7e656b478bfd2f4bb921bdb7390c4d;5731ce70de768e996cfc6492bc9f7a7c;full_image_query;0;;;;
ba7e656b478bfd2f4bb921bdb7390c4d;5731ce70de768e996cfc6492bc9f7a7c;related_text;0.3214285714285714;;;;
ba7e656b478bfd2f4bb921bdb7390c4d;5731ce70de768e996cfc6492bc9f7a7c;subimage;0;;;;
ba7e656b478bfd2f4bb921bdb7390c4d;5731ce70de768e996cfc6492bc9f7a7c;ocr;0;;;;
ba7e656b478bfd2f4bb921bdb7390c4d;2938dd68780109afd11f482882cb88ae;full_image_query;0;;;;
ba7e656b478bfd2f4bb921bdb7390c4d;2938dd68780109afd11f482882cb88ae;related_text;0.3333333333333333;;;;
ba7e656b478bfd2f4bb921bdb7390c4d;2938dd68780109afd11f482882cb88ae;subimage;0;;;;
ba7e656b478bfd2f4bb921bdb7390c4d;2938dd68780109afd11f482882cb88ae;ocr;0;;;;
f6b2d1aa6da5a2de5ad0d7b36d58aeef;ba7e656b478bfd2f4bb921bdb7390c4d;full_image_query;0;;;;
f6b2d1aa6da5a2de5ad0d7b36d58aeef;ba7e656b478bfd2f4bb921bdb7390c4d;related_text;0.41666666666666663;;;;
f6b2d1aa6da5a2de5ad0d7b36d58aeef;ba7e656b478bfd2f4bb921bdb7390c4d;subimage;0;;;;
f6b2d1aa6da5a2de5ad0d7b36d58aeef;ba7e656b478bfd2f4bb921bdb7390c4d;ocr;0;;;;
f6b2d1aa6da5a2de5ad0d7b36d58aeef;03cf5e8c10f6cdd2d5cb33c61410ba2d;full_image_query;0;;;;
f6b2d1aa6da5a2de5ad0d7b36d58aeef;03cf5e8c10f6cdd2d5cb33c61410ba2d;related_text;0.3333333333333333;;;;
f6b2d1aa6da5a2de5ad0d7b36d58aeef;03cf5e8c10f6cdd2d5cb33c61410ba2d;subimage;0;;;;
f6b2d1aa6da5a2de5ad0d7b36d58aeef;03cf5e8c10f6cdd2d5cb33c61410ba2d;ocr;0;;;;
f6b2d1aa6da5a2de5ad0d7b36d58aeef;ce459b1fffa366f3ec2e44d7c0db5f02;full_image_query;0;;;;
f6b2d1aa6da5a2de5ad0d7b36d58aeef;ce459b1fffa366f3ec2e44d7c0db5f02;related_text;0.41666666666666663;;;;
f6b2d1aa6da5a2de5ad0d7b36d58aeef;ce459b1fffa366f3ec2e44d7c0db5f02;subimage;0;;;;
f6b2d1aa6da5a2de5ad0d7b36d58aeef;ce459b1fffa366f3ec2e44d7c0db5f02;ocr;0;;;;
f6b2d1aa6da5a2de5ad0d7b36d58aeef;a024a6593be5a9f2b2a1f3c123e3fdd4;full_image_query;0;;;;
f6b2d1aa6da5a2de5ad0d7b36d58aeef;a024a6593be5a9f2b2a1f3c123e3fdd4;related_text;0.41666666666666663;;;;
